municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,longitud_bancos,latitud_bancos,avg_income,population_density,avg_rent_price,normalized_bank_count,perc_over_65,perc_under_35,economic_score,social_score,total_score_alpha_0,total_score_alpha_25,total_score_alpha_50,total_score_alpha_75,total_score_alpha_100,PC1_economic,PC2_social,economic_score_normalized,social_score_normalized,total_score_alpha_50_normalized,economic_category,social_category
Onil,7569.0,3770.0,3799.0,156.35299752417123,48.40968910001152,2717.0,6085.0,1390.0,24.426,3.266717927142857,0.3401360542857143,1.0,-0.6740951,38.6298061,24.426,156.35299752417123,1.8034269907142857,0.0125,0.001836438102787686,0.003589641960628881,6.589834418635646,0.0650975333096607,0.0650975333096607,1.696281754641157,3.3274659759726535,4.9586501973041495,6.589834418635646,-0.0567190650470236,-0.2618373816119709,25.06074345581232,65.63876326448266,25.01542029337442,Low,High
Ontinyent,35946.0,17743.0,18203.0,286.5814397494452,125.43031408952083,12913.0,29040.0,6355.0,26.832,3.2120523685185187,0.1226851851851851,1.0,-0.6099929,38.8208523,26.832,286.5814397494452,1.667368776851852,0.0125,0.001767929672286207,0.003592332943860234,11.353209547391554,0.0627160460412949,0.0627160460412949,2.8853394213788595,5.707962796716425,8.530586172053988,11.353209547391554,-0.0701710193327802,0.1841966915610775,43.31933768081465,63.23747597941677,43.26556586538115,Medium,High
Ontur,1963.0,990.0,973.0,36.07858678816292,54.40900475192792,667.0,1488.0,540.0,19.488,0.0,0.0,1.0,-1.4984397,38.6146429,19.488,36.07858678816292,2.637703983157895,0.0125,0.002750891492613347,0.003397860417727967,1.073036323990438,0.092303059997628,0.092303059997628,0.3374863759958305,0.582669691994033,0.8278530079922354,1.073036323990438,-0.0165611859095719,-0.7238849999096547,3.9141876820912023,93.07048048889003,3.972362679686139,Very Low,Very High
Ontígola,4743.0,2523.0,2220.0,114.73311923880718,41.339414734535815,1685.0,3982.0,297.0,29.145,3.403399405,4.76836006,1.0,-3.572782,40.00348,29.145,114.73311923880718,4.0858797325000005,0.0125,0.000626185958254269,0.003552603837233818,3.099214929614323,0.021967832551396,0.021967832551396,0.7912796068171278,1.5605913810828596,2.3299031553485916,3.099214929614323,-0.1076136697857662,0.0466026785766212,11.680775865359037,22.150476169592274,11.469626708090741,Very Low,Low
Onzonilla,1857.0,959.0,898.0,85.27511267329754,21.77657632789605,575.0,1431.0,404.0,27.687,0.0,3.59903382,1.0,-5.5819058,42.5247476,27.687,85.27511267329754,1.79951691,0.0125,0.00217555196553581,0.003096392030156166,4.653534707799111,0.0665215724518472,0.0665215724518472,1.2132748562886633,2.3600281401254795,3.5067814239622956,4.653534707799111,-0.0507906703372939,-0.0952080153187261,17.638671970254695,67.0746420663522,17.598531019579205,Very Low,High
Orba,2233.0,1092.0,1141.0,125.94770236497024,17.72958107269977,514.0,1321.0,790.0,22.813,4.37956204,3.61445783,1.0,-0.0638798,38.7803753,22.813,125.94770236497024,3.997009935,0.0125,0.003537841468875952,0.002301836094939543,2.6860531856668066,0.0804173705134219,0.0804173705134219,0.7318263243017681,1.3832352780901143,2.03464423187846,2.6860531856668066,-0.0076376779364367,-0.4339367274083847,10.097076822533015,81.0859717275853,10.109921175406976,Very Low,Very High
Orce,1192.0,601.0,591.0,3.671560532447025,324.6575916332652,377.0,873.0,325.0,18.855,0.0,0.0,1.0,-2.4794159,37.7212772,18.855,3.671560532447025,2.637703983157895,0.0125,0.002726510067114094,0.003162751677852349,0.1112745307620734,0.0851548336082834,0.0851548336082834,0.09168475789673089,0.0982146821851784,0.1047446064736259,0.1112745307620734,-0.0205043137519527,-0.7916798289069099,0.22763815596691736,85.86282275016758,0.2582747737266111,Very Low,Very High
Orcera,1761.0,889.0,872.0,13.942867529176649,126.30113542389728,593.0,1408.0,427.0,20.186,0.0,0.0,1.0,-2.6610525,38.3180223,20.186,13.942867529176649,2.637703983157895,0.0125,0.002424758659852356,0.0033674048835888697,0.4448932062215166,0.0806307985080233,0.0806307985080233,0.1716964004363966,0.26276200236477,0.35382760429314325,0.4448932062215166,-0.0302308035976301,-0.6842681560348589,1.5064389760668582,81.30117419224727,1.5197814141021588,Very Low,Very High
Ordes,12605.0,6160.0,6445.0,80.21256344347951,157.14495907965727,4024.0,9655.0,2977.0,24.214,1.73083104,0.257806987,3.0,-8.086586833333334,42.697436466666666,24.214,80.21256344347951,0.9943190135,0.0375,0.002361761205870686,0.0031923839746132486,6.390453324092414,0.0725691180202915,0.0725691180202915,1.6520401695383222,3.231511221056353,4.810982272574384,6.390453324092414,-0.0282537825476406,-0.2994610293460286,24.296491553957075,73.17246777059248,24.279780476387995,Low,High
Orellana la Vieja,2627.0,1358.0,1269.0,70.90997264259167,37.04697522929388,906.0,2026.0,703.0,22.126,1.774059275,1.041666665,1.0,-5.5337227,39.0054716,22.126,70.90997264259167,1.40786297,0.0125,0.002676056338028169,0.003448800913589646,3.917493329917409,0.0911382072411629,0.0911382072411629,1.0477269879102244,2.004315768579286,2.9609045492483475,3.917493329917409,-0.0210446333772445,-0.5074630432625417,14.817336155146718,91.89594298443676,14.871452156918322,Very Low,Very High
