Name,Titulares,NUMERODECLARACIONES,NUMEROHABITANTES,POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL,POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO,RENTA BRUTA MEDIA,RENTA BRUTA MEDIANA,RENTA DISPONIBLEMEDIA,RENTA DISPONIBLEMEDIANA
"Zubia, La-18193",11.600,10.357,20.056,1.056,52,26.970,22.145,22.239,19.184
Alhendín-18014,5.822,5.222,10.399,1.128,61,26.518,22.755,21.939,19.504
Peligros-18153,6.734,5.945,11.674,1.176,63,26.285,21.637,21.766,18.736
Cúllar Vega-18057,4.490,3.960,7.809,1.222,69,26.019,22.165,21.588,19.044
Churriana de la Vega-18062,9.547,8.540,16.693,1.254,70,25.849,22.023,21.450,19.030
Beas de Granada-18024,530,464,1.009,1.305,76,25.626,21.957,21.643,18.812
Vegas del Genil-18911,6.984,6.192,12.325,1.382,83,25.225,22.015,21.057,19.010
Maracena-18127,12.561,11.117,22.310,1.412,87,25.059,21.472,20.985,18.602
Pinos Genil-18157,871,766,1.638,1.415,88,25.055,20.761,21.063,18.356
Alfacar-18011,3.392,2.927,5.784,1.473,91,24.754,21.181,20.742,18.422
Cenes de la Vega-18047,4.638,4.142,8.296,1.484,92,24.667,21.073,20.518,18.271
"Gabias, Las-18905",13.409,11.901,23.318,1.518,98,24.440,21.002,20.444,18.252
Guadix-18089,10.169,8.932,18.725,1.623,109,23.926,20.160,20.094,17.599
Motril-18140,32.768,29.137,59.632,1.674,116,23.735,18.847,19.922,16.920
Atarfe-18022,11.019,9.634,20.455,1.709,124,23.556,20.469,19.905,17.940
Baza-18023,11.774,10.481,20.562,1.719,125,23.518,19.068,19.720,17.064
Nigüelas-18143,631,570,1.239,1.744,129,23.400,18.370,19.695,16.560
Padul-18150,5.371,4.754,9.536,1.747,130,23.389,20.075,19.791,17.846
Salobreña-18173,6.889,5.972,12.660,1.776,133,23.283,18.902,19.626,16.938
Almuñécar-18017,14.466,12.674,27.311,1.857,139,22.865,18.139,19.386,16.519
Pulianas-18165,3.070,2.652,5.628,1.889,146,22.721,19.743,19.261,17.307
Dúrcal-18071,4.093,3.600,7.209,1.909,149,22.627,20.073,19.352,17.769
Santa Fe-18175,8.140,7.141,15.269,1.921,151,22.584,19.016,19.049,17.003
Lecrín-18119,1.173,1.043,2.268,2.098,186,21.765,18.197,18.654,16.486
Güejar Sierra-18094,1.371,1.203,2.926,2.116,190,21.683,18.590,18.422,16.675
Vélez de Benaudalla-18184,1.512,1.311,3.054,2.143,199,21.578,17.846,18.349,16.291
Güevéjar-18095,1.467,1.293,2.660,2.193,211,21.309,18.630,18.309,16.869
Torrenueva Costa-18916,1.553,1.390,3.098,2.208,214,21.192,17.340,18.177,15.913
Orgiva-18147,2.839,2.489,5.674,2.210,216,21.188,16.259,17.976,15.214
Huéscar-18098,4.213,3.777,7.234,2.221,217,21.133,16.591,17.949,15.332
Loja-18122,11.756,10.241,20.846,2.270,233,20.852,17.058,17.822,15.749
Lanjarón-18116,1.889,1.627,3.660,2.272,234,20.846,17.012,17.940,15.720
Cijuela-18048,2.015,1.774,3.714,2.289,240,20.778,18.269,17.884,16.591
Zújar-18194,1.534,1.350,2.623,2.307,246,20.683,15.355,17.770,14.657
Chauchina-18059,2.981,2.624,5.781,2.356,259,20.382,17.661,17.557,16.213
Villamena-18908,518,466,1.005,2.370,264,20.326,17.447,17.542,16.356
Benalúa-18027,1.735,1.501,3.339,2.412,279,20.126,16.824,17.283,15.691
Valle del Zalabí-18907,1.107,970,2.122,2.460,294,19.924,16.760,17.279,15.921
Cogollos de la Vega-18050,1.093,963,2.084,2.462,295,19.916,17.538,17.327,16.215
Valderrubio-18914,1.142,989,2.077,2.466,296,19.878,16.605,17.256,15.391
Gualchos-18093,2.530,2.258,5.309,2.468,298,19.874,16.554,17.232,15.273
"Malahá, La-18126",1.115,995,1.872,2.486,309,19.755,18.041,17.233,16.448
Huéneja-18097,606,546,1.177,2.491,312,19.715,16.454,17.140,15.327
Moraleda de Zafayona-18138,1.631,1.419,3.127,2.521,326,19.565,16.544,16.957,15.353
Láchar-18115,2.002,1.720,3.826,2.530,331,19.506,16.661,16.969,15.494
Purullena-18167,1.156,1.030,2.338,2.567,353,19.204,16.894,16.611,15.669
Alhama de Granada-18013,3.312,2.921,5.657,2.568,354,19.197,15.548,16.616,14.558
Polopos-18162,791,698,1.671,2.570,356,19.189,15.237,16.662,14.494
Cádiar-18035,773,676,1.517,2.582,362,19.111,15.095,16.451,14.353
Zafarraya-18192,1.449,1.223,2.189,2.611,377,18.875,14.581,16.353,13.999
Huétor Tájar-18100,5.664,5.039,10.653,2.612,378,18.875,15.735,16.367,14.761
Orce-18146,576,510,1.148,2.614,379,18.855,14.610,16.395,14.133
Villanueva Mesía-18188,1.134,1.020,1.979,2.617,380,18.840,15.560,16.316,14.558
Galera-18082,597,518,1.116,2.620,382,18.792,14.601,16.475,14.080
Caniles-18039,2.320,2.025,3.906,2.624,384,18.773,16.216,16.529,15.258
Albuñol-18006,3.517,3.028,7.357,2.656,397,18.568,15.689,16.305,14.696
"Peza, La-18154",582,500,1.107,2.667,402,18.463,15.700,16.268,15.121
Deifontes-18066,1.425,1.220,2.622,2.669,403,18.446,15.171,16.169,14.554
Illora-18102,5.607,4.810,9.918,2.693,420,18.290,14.619,16.002,14.124
Fuente Vaqueros-18079,2.392,2.086,4.625,2.701,425,18.250,15.055,15.940,14.330
