municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos
Borriana/Burriana,34903.0,17321.0,17582.0,743.5562477140937,46.94063173741312,13066.0,28547.0,5997.0,27.115,3.9031598533333334,1.1801068445833334,7.0
Bossòst,1120.0,546.0,574.0,40.20590114854907,27.85660731398426,386.0,907.0,203.0,30.339,5.35714286,3.57653699,2.0
Brihuega,2467.0,1297.0,1170.0,8.322895089208904,296.4112815982269,701.0,1772.0,627.0,25.537,4.13033564,1.50974026,1.0
Bullas,11619.0,5824.0,5795.0,140.8441300639291,82.49545078468049,4383.0,9373.0,2174.0,21.936,0.5676190475,0.29590958333333334,1.0
Buñol,9438.0,4719.0,4719.0,83.96458015852886,112.40453989266231,3242.0,7406.0,2111.0,26.843,3.5631439414285713,0.4721083385714286,5.0
Burgos,174051.0,82859.0,91192.0,1625.690058164912,107.06284332972407,60288.0,137707.0,38214.0,31.069000000000003,6.389926961125828,0.37126341860927153,7.0
Burjassot,38712.0,18672.0,20040.0,11257.906180501035,3.438650081047052,13967.0,30920.0,6664.0,25.241,5.0587336246153844,0.4085110084615385,3.0
Cabana de Bergantiños,4185.0,2022.0,2163.0,41.88122792971501,99.92543692900452,1057.0,2893.0,1444.0,22.127,1.06707317,0.0,1.0
Cabra,20245.0,9870.0,10375.0,88.37641566988592,229.07695278819105,7447.0,16331.0,4086.0,21.879,3.1450677620000005,0.8636187346666666,5.0
Cabrerizos,4284.0,2132.0,2152.0,368.7721166101777,11.616930367131143,1648.0,3743.0,513.0,34.931,4.597180015,4.067628215,1.0
Cáceres,95418.0,45735.0,49683.0,54.5174327471092,1750.2291504190382,35358.0,79918.0,16150.0,26.4325,4.436296580140845,0.9175188159154929,38.0
Cádiz,114244.0,53995.0,60249.0,9286.82451145046,12.301729171164972,37776.0,89924.0,27055.0,29.054499999999997,7.660893925887851,0.0,12.0
Cájar,5262.0,2592.0,2670.0,3190.7869693455264,1.6491229438232624,2026.0,4330.0,740.0,31.89,4.4717071325,4.096402535,1.0
Calasparra,10133.0,5141.0,4992.0,54.60902486090855,185.5554100409076,3804.0,8162.0,2003.0,21.742,2.291129901111111,0.0,1.0
Càlig,2002.0,1012.0,990.0,72.88902646627209,27.46641157193099,640.0,1498.0,447.0,23.284,3.65075248,2.06068841,1.0
Cambados,13673.0,6600.0,7073.0,584.107299086336,23.408370382269467,4735.0,10949.0,2865.0,22.497,2.350404921111111,0.0,2.0
Cambil,2662.0,1389.0,1273.0,19.030086497810156,139.8837572444205,983.0,2079.0,660.0,14.973,0.0,0.0,1.0
Cambre,24616.0,11986.0,12630.0,604.2088893868226,40.74087692582839,8286.0,20485.0,4118.0,30.356,3.4043340826666664,2.2084061746666666,4.0
Campillo de Arenas,1743.0,878.0,865.0,14.937254431252882,116.68811079184408,684.0,1405.0,379.0,18.199,0.0,0.0,2.0
Campillos,8301.0,4162.0,4139.0,44.285580192244815,187.44250304422232,3342.0,7064.0,1453.0,22.303,1.9886339120000003,1.118899734,1.0
Campo Real,6416.0,3251.0,3165.0,103.79833741812776,61.81216539292549,2470.0,5328.0,747.0,28.779,6.728552616666666,4.959646213333333,1.0
Camponaraya,4105.0,2017.0,2088.0,140.92758450005562,29.12843510773705,1319.0,3254.0,808.0,23.611,2.43938644,1.7735480633333331,3.0
Campos,11425.0,5698.0,5727.0,76.3450161114093,149.64958528959698,3951.0,8714.0,1896.0,30.896,6.5900424,4.83151021,1.0
Camuñas,1726.0,894.0,832.0,16.915759494878543,102.03502837236294,624.0,1302.0,438.0,19.744,0.0,0.0,2.0
Canena,1822.0,944.0,878.0,126.9094101881747,14.356697405641022,660.0,1452.0,430.0,20.343,0.0,0.0,3.0
Canet de Mar,14810.0,7227.0,7583.0,2682.878093392632,5.520191184412715,4961.0,11540.0,3043.0,33.06,7.747658018999999,4.34317351,1.0
Cangas,26708.0,13265.0,13443.0,705.8698850624237,37.83700164179419,8519.0,21232.0,5255.0,27.64,4.029384677222222,1.0514130672222222,1.0
Cangas de Onís,6195.0,2996.0,3199.0,29.052431982753472,213.23516061159927,1884.0,4741.0,1537.0,24.15,2.4324808475,2.962499285,2.0
Carmona,29123.0,14675.0,14448.0,31.584209599238555,922.0746812895424,11075.0,23873.0,4747.0,24.282,2.394409100952381,0.8775232461904762,7.0
Carral,6574.0,3232.0,3342.0,137.0967140761472,47.95155043868245,1933.0,4779.0,1515.0,27.794,2.379840522,2.4925865199999997,3.0
Cartagena,216365.0,107458.0,108907.0,386.2377384126191,560.1860680140389,85634.0,178437.0,35506.0,29.082,3.4696073399450547,1.8071860056043956,33.0
Cartes,5750.0,2872.0,2878.0,303.68544397363587,18.93406521156536,2306.0,5178.0,600.0,26.662,4.49608642,4.0985153575,1.0
Casar de Cáceres,4516.0,2228.0,2288.0,34.659563525080394,130.29592818536582,1656.0,3695.0,805.0,21.694,1.557031425,0.77726018,4.0
Caso,1441.0,824.0,617.0,4.699651025255547,306.618511088628,243.0,944.0,609.0,21.668,0.0,0.0,1.0
Caspe,10183.0,5401.0,4782.0,20.238432386640262,503.1516179445782,3646.0,7644.0,1881.0,23.293,3.3981279383333334,1.1472222216666668,1.0
Castellanos de Moriscos,2809.0,1453.0,1356.0,203.15765955629053,13.82669994395012,1164.0,2471.0,144.0,26.177,4.75604268,4.61864407,1.0
Castellar,3267.0,1648.0,1619.0,20.761417148998685,157.35920031632168,1351.0,2781.0,583.0,17.822,0.0,0.40750706,2.0
Castellbisbal,12610.0,6348.0,6262.0,406.99096369775503,30.98348888493899,4983.0,10725.0,1607.0,34.724,6.581819186666666,4.760932021666666,1.0
Castelldefels,67226.0,32930.0,34296.0,5195.992434910413,12.9380480903566,25280.0,56770.0,9605.0,45.548,11.721366474054054,5.856444631621621,1.0
