municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,municipio_key,provincia
Salinillas de Bureba,51.0,38.0,13.0,2.2337109087255804,22.831960841834047,7.0,38.0,13.0,21.137,0.0,0.0,2.0,salinillas de bureba,Burgos
Sallent,6717.0,3249.0,3468.0,102.85923973647276,65.3028353817224,2130.0,4938.0,1698.0,30.542,4.465822245,1.1504447366666666,3.0,sallent,Barcelona
Sallent de Gállego,1519.0,751.0,768.0,9.389004615815802,161.78498809567532,503.0,1233.0,230.0,29.433,7.24904321,0.0,1.0,sallent de gallego,Huesca
Salmerón,141.0,82.0,59.0,3.874480230265045,36.39197818034924,37.0,106.0,49.0,22.597,0.0,0.0,2.0,salmeron,Guadalajara
Salmeroncillos,100.0,58.0,42.0,4.836052438752441,20.67802226433199,20.0,74.0,26.0,20.03,0.0,0.0,1.0,salmeroncillos,Cuenca
Salmoral,124.0,71.0,53.0,5.391987699600398,22.997085102621742,7.0,68.0,69.0,21.727,0.0,0.0,1.0,salmoral,Salamanca
Salobral,118.0,62.0,56.0,15.629617486250408,7.549768898938586,31.0,77.0,39.0,18.469,0.0,0.0,1.0,salobral,Ávila
Salobre,461.0,242.0,219.0,9.308010304616372,49.52723352394269,139.0,321.0,180.0,19.488,0.0,0.0,1.0,salobre,Albacete
Salobreña,12472.0,6230.0,6242.0,357.28033559489074,34.90816246361126,4622.0,10003.0,2393.0,23.283,2.91194683125,1.6117928575,6.0,salobrena,Granada
Salomó,544.0,280.0,264.0,44.242588082977136,12.295844876428252,210.0,445.0,119.0,26.109,0.0,3.19555497,1.0,salomo,Tarragona
Salorino,566.0,295.0,271.0,3.5894344087983274,157.6850098201086,131.0,383.0,198.0,16.648,0.0,0.0,1.0,salorino,Cáceres
Salou,28512.0,14673.0,13839.0,1883.8531916429224,15.134937332953465,10514.0,23443.0,3332.0,30.314,7.1467303125,1.1179235416666666,2.0,salou,Tarragona
Salt,32230.0,16926.0,15304.0,4872.706952728919,6.614393254646652,14039.0,26818.0,3804.0,24.847,6.40798509,2.60901496,1.0,salt,Girona
Salteras,5646.0,2724.0,2922.0,98.27509613885702,57.45097406999764,2238.0,4757.0,720.0,28.752,3.4672538866666667,4.378771176666667,1.0,salteras,Sevilla
Salvacañete,287.0,147.0,140.0,2.386060649628405,120.28193836761702,72.0,199.0,97.0,22.013,0.0,0.0,2.0,salvacanete,Cuenca
