municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos,longitud_bancos,latitud_bancos,avg_income,population_density,avg_rent_price,normalized_bank_count,perc_over_65,perc_under_35,economic_score,social_score,total_score_alpha_0,total_score_alpha_25,total_score_alpha_50,total_score_alpha_75,total_score_alpha_100,PC1_economic,PC2_social,economic_score_normalized,social_score_normalized,total_score_alpha_50_normalized,economic_category,social_category,name_normalized,lat,lon
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,43.1729772,-8.206688
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,42.8169562,-8.0321672
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,42.7931973,-8.3370393
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,43.209223,-8.4521671
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,43.5092985,-7.8766195
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,43.6505938,-7.8747109
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,43.6873641,-7.7908823
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,43.211441,-8.2976257
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,42.3589421,-7.9172251
A Capela,1242.0,617.0,625.0,21.52306152337824,57.70554521952863,296.0,836.0,402.0,26.737,0.0,0.0,0.0,0.0,0.0,26.737,21.52306152337824,2.637703983157895,0.0,0.0032367149758454,0.0023832528180354,0.8873097467740937,0.0771391008736104,0.0771391008736104,0.2796817623487312,0.482224423823852,0.6847670852989728,0.8873097467740937,-0.2371841189217496,0.1170880156472212,3.221605244145509,72.98710238776722,3.1561244030979574,Very Low,High,a capela,42.5410588,-9.0130812
